sim/operation/quit                                 Quit X-Plane.
sim/FMS/key_Z                                      FMS: key_Z
sim/FMS/key_period                                 FMS: key_period
sim/FMS/key_minus                                  FMS: key_minus
sim/FMS/key_slash                                  FMS: key_slash
sim/FMS/key_back                                   FMS: key_back
sim/FMS/key_space                                  FMS: key_space
sim/FMS/key_delete                                 FMS: key_delete
sim/FMS/key_clear                                  FMS: key_clear
sim/FMS/key_overfly                                FMS: key_overfly
sim/FMS/CDU_popup                                  FMS: CDU popup
sim/FMS/CDU_popout                                 FMS: pop out CDU window
sim/FMS2/ls_1l                                     FMS2: line select 1l
sim/FMS2/ls_2l                                     FMS2: line select 2l
sim/FMS2/ls_3l                                     FMS2: line select 3l
sim/FMS2/ls_4l                                     FMS2: line select 4l
sim/FMS2/ls_5l                                     FMS2: line select 5l
sim/FMS2/ls_6l                                     FMS2: line select 6l
sim/FMS2/ls_1r                                     FMS2: line select 1r
sim/FMS2/ls_2r                                     FMS2: line select 2r
sim/FMS2/ls_3r                                     FMS2: line select 3r
sim/FMS2/ls_4r                                     FMS2: line select 4r
sim/FMS2/ls_5r                                     FMS2: line select 5r
sim/FMS2/ls_6r                                     FMS2: line select 6r
sim/FMS2/index                                     FMS: INDEX
sim/FMS2/fpln                                      FMS2: FPLN
sim/FMS2/clb                                       FMS2: CLB
sim/FMS2/crz                                       FMS2: CRZ
sim/FMS2/des                                       FMS2: DES
sim/FMS2/dir_intc                                  FMS2: DIR/INTC
sim/FMS2/legs                                      FMS2: FPLN
sim/FMS2/dep_arr                                   FMS2: DEP/ARR
sim/FMS2/hold                                      FMS2: HOLD
sim/FMS2/prog                                      FMS2: PROG
sim/FMS2/exec                                      FMS2: EXEC
sim/FMS2/fix                                       FMS2: FIX
sim/FMS2/navrad                                    FMS2: NAVRAD
sim/FMS2/airport                                   FMS2: AIRPORT
sim/FMS2/up                                        FMS2: UP
sim/FMS2/down                                      FMS2: DOWN
sim/FMS2/perf                                      FMS2: PERF
sim/FMS2/fuel_pred                                 FMS2: FUEL PRED
sim/FMS2/data                                      FMS2: DATA
sim/FMS2/menu                                      FMS2: MENU
sim/FMS2/prev                                      FMS2: prev
sim/FMS2/next                                      FMS2: next
sim/FMS2/key_0                                     FMS2: key_0
sim/FMS2/key_1                                     FMS2: key_1
sim/FMS2/key_2                                     FMS2: key_2
sim/FMS2/key_3                                     FMS2: key_3
sim/FMS2/key_4                                     FMS2: key_4
sim/FMS2/key_5                                     FMS2: key_5
sim/FMS2/key_6                                     FMS2: key_6
sim/FMS2/key_7                                     FMS2: key_7
sim/FMS2/key_8                                     FMS2: key_8
sim/FMS2/key_9                                     FMS2: key_9
sim/FMS2/key_A                                     FMS2: key_A
sim/FMS2/key_B                                     FMS2: key_B
sim/FMS2/key_C                                     FMS2: key_C
sim/FMS2/key_D                                     FMS2: key_D
sim/FMS2/key_E                                     FMS2: key_E
sim/FMS2/key_F                                     FMS2: key_F
sim/FMS2/key_G                                     FMS2: key_G
sim/FMS2/key_H                                     FMS2: key_H
sim/FMS2/key_I                                     FMS2: key_I
sim/FMS2/key_J                                     FMS2: key_J
sim/FMS2/key_K                                     FMS2: key_K
sim/FMS2/key_L                                     FMS2: key_L
sim/FMS2/key_M                                     FMS2: key_M
sim/FMS2/key_N                                     FMS2: key_N
sim/FMS2/key_O                                     FMS2: key_O
sim/FMS2/key_P                                     FMS2: key_P
sim/FMS2/key_Q                                     FMS2: key_Q
sim/FMS2/key_R                                     FMS2: key_R
sim/FMS2/key_S                                     FMS2: key_S
sim/FMS2/key_T                                     FMS2: key_T
sim/FMS2/key_U                                     FMS2: key_U
sim/FMS2/key_V                                     FMS2: key_V
sim/FMS2/key_W                                     FMS2: key_W
sim/FMS2/key_X                                     FMS2: key_X
sim/FMS2/key_Y                                     FMS2: key_Y
sim/FMS2/key_Z                                     FMS2: key_Z
sim/FMS2/key_period                                FMS2: key_period
sim/FMS2/key_minus                                 FMS2: key_minus
sim/FMS2/key_slash                                 FMS2: key_slash
sim/FMS2/key_back                                  FMS2: key_back
sim/FMS2/key_space                                 FMS2: key_space
sim/FMS2/key_delete                                FMS2: key_delete
sim/FMS2/key_clear                                 FMS2: key_clear
sim/FMS2/key_overfly                               FMS2: key_overfly
sim/FMS2/CDU_popout                                FMS2: pop out CDU window
sim/FMS2/CDU_popup                                 FMS2: CDU popup
sim/annunciator/gear_warning_mute                  Mute gear warning horn.
sim/annunciator/marker_beacon_mute                 Mute marker beacons until next marker is received.
sim/annunciator/marker_beacon_mute_or_off          Mute marker beacons until next marker is received or indefinitely if none is received right now.
sim/annunciator/marker_beacon_sens_hi              Marker beacon receiver hi sens.
sim/annunciator/marker_beacon_sens_lo              Marker beacon receiver lo sens.
sim/annunciator/marker_beacon_sens_toggle          Marker beacon receiver sens toggle.
sim/systems/pre_rotate_toggle                      Toggle pre-rotate.
sim/flight_controls/pump_flaps                     Pump flaps up/down.
sim/flight_controls/pump_gear                      Pump gear up/down.
sim/GPS/g430n1_coarse_down                         GNS COM/NAV 1 coarse down.
sim/GPS/g430n1_coarse_up                           GNS COM/NAV 1 coarse up.
sim/GPS/g430n1_fine_down                           GNS COM/NAV 1 fine down.
sim/GPS/g430n1_fine_up                             GNS COM/NAV 1 fine up.
sim/GPS/g430n1_chapter_up                          GNS NAV 1 chapter up.
sim/GPS/g430n1_chapter_dn                          GNS NAV 1 chapter dn.
sim/GPS/g430n1_page_up                             GNS NAV 1 page up.
sim/GPS/g430n1_page_dn                             GNS NAV 1 page dn.
sim/GPS/g430n1_zoom_in                             GNS NAV 1 zoom in.
sim/GPS/g430n1_zoom_out                            GNS NAV 1 zoom out.
sim/GPS/g430n1_nav_com_tog                         GNS NAV 1 NAV COM toggle.
sim/GPS/g430n1_cdi                                 GNS NAV 1 CDI.
sim/GPS/g430n1_obs                                 GNS NAV 1 OBS.
sim/GPS/g430n1_msg                                 GNS NAV 1 MSG.
sim/GPS/g430n1_fpl                                 GNS NAV 1 FPL.
sim/GPS/g430n1_proc                                GNS NAV 1 PROC.
sim/GPS/g430n1_vnav                                GNS NAV 1 VNAV.
sim/GPS/g430n1_direct                              GNS NAV 1 Direct.
sim/GPS/g430n1_menu                                GNS NAV 1 Menu.
sim/GPS/g430n1_clr                                 GNS NAV 1 CLR.
sim/GPS/g430n1_ent                                 GNS NAV 1 ENT.
sim/GPS/g430n1_com_ff                              GNS NAV 1 COM flip flop.
sim/GPS/g430n1_nav_ff                              GNS NAV 1 NAV flip flop.
sim/GPS/g430n1_cursor                              GNS NAV 1 push cursor.
sim/GPS/g430n1_popout                              GNS NAV 1 pop out window.
sim/GPS/g430n1_popup                               GNS NAV 1 toggle popup.
sim/GPS/g430n1_cvol                                GNS NAV 1 COM audio.
sim/GPS/g430n1_vvol                                GNS NAV 1 NAV ID
sim/GPS/g430n1_cvol_up                             GNS NAV 1 COM audio volume up.
sim/GPS/g430n1_cvol_dn                             GNS NAV 1 COM audio volume down.
sim/GPS/g430n1_vvol_up                             GNS NAV 1 NAV audio volume up.
sim/GPS/g430n1_vvol_dn                             GNS NAV 1 NAV audio volume down.
sim/GPS/g430n2_coarse_down                         GNS COM/NAV 2 coarse down.
sim/GPS/g430n2_coarse_up                           GNS COM/NAV 2 coarse up.
sim/GPS/g430n2_fine_down                           GNS COM/NAV 2 fine down.
sim/GPS/g430n2_fine_up                             GNS COM/NAV 2 fine up.
sim/GPS/g430n2_chapter_up                          GNS NAV 2 chapter up.
sim/GPS/g430n2_chapter_dn                          GNS NAV 2 chapter dn.
sim/GPS/g430n2_page_up                             GNS NAV 2 page up.
sim/GPS/g430n2_page_dn                             GNS NAV 2 page dn.
sim/GPS/g430n2_zoom_in                             GNS NAV 2 zoom in.
sim/GPS/g430n2_zoom_out                            GNS NAV 2 zoom out.
sim/GPS/g430n2_nav_com_tog                         GNS NAV 2 NAV COM toggle.
sim/GPS/g430n2_cdi                                 GNS NAV 2 CDI.
sim/GPS/g430n2_obs                                 GNS NAV 2 OBS.
sim/GPS/g430n2_msg                                 GNS NAV 2 MSG.
sim/GPS/g430n2_fpl                                 GNS NAV 2 FPL.
sim/GPS/g430n2_proc                                GNS NAV 2 PROC.
sim/GPS/g430n2_vnav                                GNS NAV 2 VNAV.
sim/GPS/g430n2_direct                              GNS NAV 2 Direct.
sim/GPS/g430n2_menu                                GNS NAV 2 Menu.
sim/GPS/g430n2_clr                                 GNS NAV 2 CLR.
sim/GPS/g430n2_ent                                 GNS NAV 2 ENT.
sim/GPS/g430n2_com_ff                              GNS NAV 2 COM FF.
sim/GPS/g430n2_nav_ff                              GNS NAV 2 NAV FF.
sim/GPS/g430n2_cursor                              GNS NAV 2 push cursor.
sim/GPS/g430n2_popout                              GNS NAV 2 pop out window.
sim/GPS/g430n2_popup                               GNS NAV 2 toggle popup.
sim/GPS/g430n2_cvol                                GNS NAV 2 COM audio.
sim/GPS/g430n2_vvol                                GNS NAV 2 NAV ID
sim/GPS/g430n2_cvol_up                             GNS NAV 2 COM audio volume up.
sim/GPS/g430n2_cvol_dn                             GNS NAV 2 COM audio volume down.
sim/GPS/g430n2_vvol_up                             GNS NAV 2 NAV audio volume up.
sim/GPS/g430n2_vvol_dn                             GNS NAV 2 NAV audio volume down.
sim/GPS/g1000n1_nvol                               G1000 pilot NAV audio.
sim/GPS/g1000n1_nvol_up                            G1000 pilot NAV audio volume up.
sim/GPS/g1000n1_nvol_dn                            G1000 pilot NAV audio volume down.
sim/GPS/g1000n1_nav_ff                             G1000 pilot NAV flip flop.
sim/GPS/g1000n1_nav_outer_up                       G1000 pilot NAV outer ring tune up.
sim/GPS/g1000n1_nav_outer_down                     G1000 pilot NAV outer ring tune down.
sim/GPS/g1000n1_nav_inner_up                       G1000 pilot NAV inner ring tune up.
sim/GPS/g1000n1_nav_inner_down                     G1000 pilot NAV inner ring tune down.
sim/GPS/g1000n1_nav12                              G1000 pilot PFD NAV 1/2.
sim/GPS/g1000n1_hdg_up                             G1000 pilot HDG up.
sim/GPS/g1000n1_hdg_down                           G1000 pilot HDG down.
sim/GPS/g1000n1_hdg_sync                           G1000 pilot HDG sync.
sim/GPS/g1000n1_ap                                 G1000 pilot autopilot.
sim/GPS/g1000n1_fd                                 G1000 pilot flight director.
sim/GPS/g1000n1_yd                                 G1000 pilot yaw damper.
sim/GPS/g1000n1_hdg                                G1000 pilot AP HDG.
sim/GPS/g1000n1_alt                                G1000 pilot AP ALT.
sim/GPS/g1000n1_nav                                G1000 pilot AP NAV.
sim/GPS/g1000n1_vnv                                G1000 pilot AP VNAV.
sim/GPS/g1000n1_apr                                G1000 pilot AP approach.
sim/GPS/g1000n1_bc                                 G1000 pilot AP backcourse.
sim/GPS/g1000n1_vs                                 G1000 pilot AP vertical speed.
sim/GPS/g1000n1_flc                                G1000 pilot AP flight level change.
sim/GPS/g1000n1_nose_up                            G1000 pilot AP nose up.
sim/GPS/g1000n1_nose_down                          G1000 pilot AP nose down.
sim/GPS/g1000n1_alt_outer_up                       G1000 pilot altitude outer ring up.
sim/GPS/g1000n1_alt_outer_down                     G1000 pilot altitude outer ring down.
sim/GPS/g1000n1_alt_inner_up                       G1000 pilot altitude inner ring up.
sim/GPS/g1000n1_alt_inner_down                     G1000 pilot altitude inner ring down.
sim/GPS/g1000n1_softkey1                           G1000 pilot PFD Softkey 1.
sim/GPS/g1000n1_softkey2                           G1000 pilot PFD Softkey 2.
sim/GPS/g1000n1_softkey3                           G1000 pilot PFD Softkey 3.
sim/GPS/g1000n1_softkey4                           G1000 pilot PFD Softkey 4.
sim/GPS/g1000n1_softkey5                           G1000 pilot PFD Softkey 5.
sim/GPS/g1000n1_softkey6                           G1000 pilot PFD Softkey 6.
sim/GPS/g1000n1_softkey7                           G1000 pilot PFD Softkey 7.
sim/GPS/g1000n1_softkey8                           G1000 pilot PFD Softkey 8.
sim/GPS/g1000n1_softkey9                           G1000 pilot PFD Softkey 9.
sim/GPS/g1000n1_softkey10                          G1000 pilot PFD Softkey 10.
sim/GPS/g1000n1_softkey11                          G1000 pilot PFD Softkey 11.
sim/GPS/g1000n1_softkey12                          G1000 pilot PFD Softkey 12.
sim/GPS/g1000n1_cvol                               G1000 pilot COM audio.
sim/GPS/g1000n1_cvol_up                            G1000 pilot COM audio volume up.
sim/GPS/g1000n1_cvol_dn                            G1000 pilot COM audio volume down.
sim/GPS/g1000n1_com_ff                             G1000 pilot COM flip flop.
sim/GPS/g1000n1_com_outer_up                       G1000 pilot COM outer ring tune up.
sim/GPS/g1000n1_com_outer_down                     G1000 pilot COM outer ring tune down.
sim/GPS/g1000n1_com_inner_up                       G1000 pilot COM inner ring tune up.
sim/GPS/g1000n1_com_inner_down                     G1000 pilot COM inner ring tune down.
sim/GPS/g1000n1_com12                              G1000 pilot PFD Com 1/2.
sim/GPS/g1000n1_crs_up                             G1000 pilot CRS up.
sim/GPS/g1000n1_crs_down                           G1000 pilot CRS down.
sim/GPS/g1000n1_crs_sync                           G1000 pilot CRS sync.
sim/GPS/g1000n1_baro_up                            G1000 pilot baro up.
sim/GPS/g1000n1_baro_down                          G1000 pilot baro down.
sim/GPS/g1000n1_range_up                           G1000 pilot range up.
sim/GPS/g1000n1_range_down                         G1000 pilot range down.
sim/GPS/g1000n1_pan_up                             G1000 pilot pan up.
sim/GPS/g1000n1_pan_down                           G1000 pilot pan down.
sim/GPS/g1000n1_pan_left                           G1000 pilot pan left.
sim/GPS/g1000n1_pan_right                          G1000 pilot pan right.
sim/GPS/g1000n1_pan_up_left                        G1000 pilot pan up left.
sim/GPS/g1000n1_pan_down_left                      G1000 pilot pan down left.
sim/GPS/g1000n1_pan_up_right                       G1000 pilot pan up right.
sim/GPS/g1000n1_pan_down_right                     G1000 pilot pan down right.
sim/GPS/g1000n1_pan_push                           G1000 pilot push pan.
sim/GPS/g1000n1_direct                             G1000 pilot -D->
sim/GPS/g1000n1_menu                               G1000 pilot menu.
sim/GPS/g1000n1_fpl                                G1000 pilot FPL.
sim/GPS/g1000n1_proc                               G1000 pilot proc.
sim/GPS/g1000n1_clr                                G1000 pilot CLR.
sim/GPS/g1000n1_ent                                G1000 pilot ENT.
sim/GPS/g1000n1_fms_outer_up                       G1000 pilot FMS outer ring tune up.
sim/GPS/g1000n1_fms_outer_down                     G1000 pilot FMS outer ring tune down.
sim/GPS/g1000n1_fms_inner_up                       G1000 pilot FMS inner ring tune up.
sim/GPS/g1000n1_fms_inner_down                     G1000 pilot FMS inner ring tune down.
sim/GPS/g1000n1_cursor                             G1000 pilot FMS cursor.
sim/GPS/g1000n1_popout                             G1000 pilot pop out window.
sim/GPS/g1000n1_popup                              G1000 pilot popup.
sim/GPS/g1000n2_nvol                               G1000 copilot NAV audio.
sim/GPS/g1000n2_nvol_up                            G1000 copilot NAV audio volume up.
sim/GPS/g1000n2_nvol_dn                            G1000 copilot NAV audio volume down.
sim/GPS/g1000n2_nav_ff                             G1000 copilot NAV flip flop.
sim/GPS/g1000n2_nav_outer_up                       G1000 copilot NAV outer ring tune up.
sim/GPS/g1000n2_nav_outer_down                     G1000 copilot NAV outer ring tune down.
sim/GPS/g1000n2_nav_inner_up                       G1000 copilot NAV inner ring tune up.
sim/GPS/g1000n2_nav_inner_down                     G1000 copilot NAV inner ring tune down.
sim/GPS/g1000n2_nav12                              G1000 copilot PFD NAV 1/2.
sim/GPS/g1000n2_hdg_up                             G1000 copilot HDG up.
sim/GPS/g1000n2_hdg_down                           G1000 copilot HDG down.
sim/GPS/g1000n2_hdg_sync                           G1000 copilot HDG sync.
sim/GPS/g1000n2_ap                                 G1000 copilot autopilot.
sim/GPS/g1000n2_fd                                 G1000 copilot flight director.
sim/GPS/g1000n2_yd                                 G1000 copilot yaw damper.
sim/GPS/g1000n2_hdg                                G1000 copilot AP HDG.
sim/GPS/g1000n2_alt                                G1000 copilot AP ALT.
sim/GPS/g1000n2_nav                                G1000 copilot AP NAV.
sim/GPS/g1000n2_vnv                                G1000 copilot AP VNAV.
sim/GPS/g1000n2_apr                                G1000 copilot AP approach.
sim/GPS/g1000n2_bc                                 G1000 copilot AP backcourse.
sim/GPS/g1000n2_vs                                 G1000 copilot AP vertical speed.
sim/GPS/g1000n2_flc                                G1000 copilot AP flight level change.
sim/GPS/g1000n2_nose_up                            G1000 copilot AP nose up.
sim/GPS/g1000n2_nose_down                          G1000 copilot AP nose down.
sim/GPS/g1000n2_alt_outer_up                       G1000 copilot altitude outer ring up.
sim/GPS/g1000n2_alt_outer_down                     G1000 copilot altitude outer ring down.
sim/GPS/g1000n2_alt_inner_up                       G1000 copilot altitude inner ring up.
sim/GPS/g1000n2_alt_inner_down                     G1000 copilot altitude inner ring down.
sim/GPS/g1000n2_softkey1                           G1000 copilot PFD Softkey 1.
sim/GPS/g1000n2_softkey2                           G1000 copilot PFD Softkey 2.
sim/GPS/g1000n2_softkey3                           G1000 copilot PFD Softkey 3.
sim/GPS/g1000n2_softkey4                           G1000 copilot PFD Softkey 4.
sim/GPS/g1000n2_softkey5                           G1000 copilot PFD Softkey 5.
sim/GPS/g1000n2_softkey6                           G1000 copilot PFD Softkey 6.
sim/GPS/g1000n2_softkey7                           G1000 copilot PFD Softkey 7.
sim/GPS/g1000n2_softkey8                           G1000 copilot PFD Softkey 8.
sim/GPS/g1000n2_softkey9                           G1000 copilot PFD Softkey 9.
sim/GPS/g1000n2_softkey10                          G1000 copilot PFD Softkey 10.
sim/GPS/g1000n2_softkey11                          G1000 copilot PFD Softkey 11.
sim/GPS/g1000n2_softkey12                          G1000 copilot PFD Softkey 12.
sim/GPS/g1000n2_cvol                               G1000 copilot COM audio.
sim/GPS/g1000n2_cvol_up                            G1000 copilot COM audio volume up.
sim/GPS/g1000n2_cvol_dn                            G1000 copilot COM audio volume down.
sim/GPS/g1000n2_com_ff                             G1000 copilot COM flip flop.
sim/GPS/g1000n2_com_outer_up                       G1000 copilot COM outer ring tune up.
sim/GPS/g1000n2_com_outer_down                     G1000 copilot COM outer ring tune down.
sim/GPS/g1000n2_com_inner_up                       G1000 copilot COM inner ring tune up.
sim/GPS/g1000n2_com_inner_down                     G1000 copilot COM inner ring tune down.
sim/GPS/g1000n2_com12                              G1000 copilot PFD Com 1/2.
sim/GPS/g1000n2_crs_up                             G1000 copilot CRS up.
sim/GPS/g1000n2_crs_down                           G1000 copilot CRS down.
sim/GPS/g1000n2_crs_sync                           G1000 copilot CRS sync.
sim/GPS/g1000n2_baro_up                            G1000 copilot baro up.
sim/GPS/g1000n2_baro_down                          G1000 copilot baro down.
sim/GPS/g1000n2_range_up                           G1000 copilot range up.
sim/GPS/g1000n2_range_down                         G1000 copilot range down.
sim/GPS/g1000n2_pan_up                             G1000 copilot pan up.
sim/GPS/g1000n2_pan_down                           G1000 copilot pan down.
sim/GPS/g1000n2_pan_left                           G1000 copilot pan left.
sim/GPS/g1000n2_pan_right                          G1000 copilot pan right.
sim/GPS/g1000n2_pan_up_left                        G1000 copilot pan up left.
sim/GPS/g1000n2_pan_down_left                      G1000 copilot pan down left.
sim/GPS/g1000n2_pan_up_right                       G1000 copilot pan up right.
sim/GPS/g1000n2_pan_down_right                     G1000 copilot pan down right.
sim/GPS/g1000n2_pan_push                           G1000 copilot push pan.
sim/GPS/g1000n2_direct                             G1000 copilot -D->
sim/GPS/g1000n2_menu                               G1000 copilot menu.
sim/GPS/g1000n2_fpl                                G1000 copilot FPL.
sim/GPS/g1000n2_proc                               G1000 copilot proc.
sim/GPS/g1000n2_clr                                G1000 copilot CLR.
sim/GPS/g1000n2_ent                                G1000 copilot ENT.
sim/GPS/g1000n2_fms_outer_up                       G1000 copilot FMS outer ring tune up.
sim/GPS/g1000n2_fms_outer_down                     G1000 copilot FMS outer ring tune down.
sim/GPS/g1000n2_fms_inner_up                       G1000 copilot FMS inner ring tune up.
sim/GPS/g1000n2_fms_inner_down                     G1000 copilot FMS inner ring tune down.
sim/GPS/g1000n2_cursor                             G1000 copilot FMS cursor.
sim/GPS/g1000n2_popout                             G1000 copilot pop out window.
sim/GPS/g1000n2_popup                              G1000 copilot popup.
sim/GPS/g1000n3_nvol                               G1000 MFD NAV audio.
sim/GPS/g1000n3_nvol_up                            G1000 MFD NAV audio volume up.
sim/GPS/g1000n3_nvol_dn                            G1000 MFD NAV audio volume down.
sim/GPS/g1000n3_nav_ff                             G1000 MFD NAV flip flop.
sim/GPS/g1000n3_nav_outer_up                       G1000 MFD NAV outer ring tune up.
sim/GPS/g1000n3_nav_outer_down                     G1000 MFD NAV outer ring tune down.
sim/GPS/g1000n3_nav_inner_up                       G1000 MFD NAV inner ring tune up.
sim/GPS/g1000n3_nav_inner_down                     G1000 MFD NAV inner ring tune down.
sim/GPS/g1000n3_nav12                              G1000 MFD NAV 1/2.
sim/GPS/g1000n3_hdg_up                             G1000 MFD HDG up.
sim/GPS/g1000n3_hdg_down                           G1000 MFD HDG down.
sim/GPS/g1000n3_hdg_sync                           G1000 MFD HDG sync.
sim/GPS/g1000n3_ap                                 G1000 MFD autopilot.
sim/GPS/g1000n3_fd                                 G1000 MFD flight director.
sim/GPS/g1000n3_yd                                 G1000 MFD yaw damper.
sim/GPS/g1000n3_hdg                                G1000 MFD AP HDG.
sim/GPS/g1000n3_alt                                G1000 MFD AP ALT.
sim/GPS/g1000n3_nav                                G1000 MFD AP NAV.
sim/GPS/g1000n3_vnv                                G1000 MFD AP VNAV.
sim/GPS/g1000n3_apr                                G1000 MFD AP approach.
sim/GPS/g1000n3_bc                                 G1000 MFD AP backcourse.
sim/GPS/g1000n3_vs                                 G1000 MFD AP vertical speed.
sim/GPS/g1000n3_flc                                G1000 MFD AP flight level change.
sim/GPS/g1000n3_nose_up                            G1000 MFD AP nose up.
sim/GPS/g1000n3_nose_down                          G1000 MFD AP nose down.
sim/GPS/g1000n3_alt_outer_up                       G1000 MFD altitude outer ring up.
sim/GPS/g1000n3_alt_outer_down                     G1000 MFD altitude outer ring down.
sim/GPS/g1000n3_alt_inner_up                       G1000 MFD altitude inner ring up.
sim/GPS/g1000n3_alt_inner_down                     G1000 MFD altitude inner ring down.
sim/GPS/g1000n3_softkey1                           G1000 MFD Softkey 1.
sim/GPS/g1000n3_softkey2                           G1000 MFD Softkey 2.
sim/GPS/g1000n3_softkey3                           G1000 MFD Softkey 3.
sim/GPS/g1000n3_softkey4                           G1000 MFD Softkey 4.
sim/GPS/g1000n3_softkey5                           G1000 MFD Softkey 5.
sim/GPS/g1000n3_softkey6                           G1000 MFD Softkey 6.
sim/GPS/g1000n3_softkey7                           G1000 MFD Softkey 7.
sim/GPS/g1000n3_softkey8                           G1000 MFD Softkey 8.
sim/GPS/g1000n3_softkey9                           G1000 MFD Softkey 9.
sim/GPS/g1000n3_softkey10                          G1000 MFD Softkey 10.
sim/GPS/g1000n3_softkey11                          G1000 MFD Softkey 11.
sim/GPS/g1000n3_softkey12                          G1000 MFD Softkey 12.
sim/GPS/g1000n3_cvol                               G1000 MFD COM audio.
sim/GPS/g1000n3_cvol_up                            G1000 MFD COM audio volume up.
sim/GPS/g1000n3_cvol_dn                            G1000 MFD COM audio volume down.
sim/GPS/g1000n3_com_ff                             G1000 MFD COM flip flop.
sim/GPS/g1000n3_com_outer_up                       G1000 MFD COM outer ring tune up.
sim/GPS/g1000n3_com_outer_down                     G1000 MFD COM outer ring tune down.
sim/GPS/g1000n3_com_inner_up                       G1000 MFD COM inner ring tune up.
sim/GPS/g1000n3_com_inner_down                     G1000 MFD COM inner ring tune down.
sim/GPS/g1000n3_com12                              G1000 MFD COM 1/2.
sim/GPS/g1000n3_crs_up                             G1000 MFD CRS up.
sim/GPS/g1000n3_crs_down                           G1000 MFD CRS down.
sim/GPS/g1000n3_crs_sync                           G1000 MFD CRS sync.
sim/GPS/g1000n3_baro_up                            G1000 MFD baro up.
sim/GPS/g1000n3_baro_down                          G1000 MFD baro down.
sim/GPS/g1000n3_range_up                           G1000 MFD range up.
sim/GPS/g1000n3_range_down                         G1000 MFD range down.
sim/GPS/g1000n3_pan_up                             G1000 MFD pan up.
sim/GPS/g1000n3_pan_down                           G1000 MFD pan down.
sim/GPS/g1000n3_pan_left                           G1000 MFD pan left.
sim/GPS/g1000n3_pan_right                          G1000 MFD pan right.
sim/GPS/g1000n3_pan_up_left                        G1000 MFD pan up left.
sim/GPS/g1000n3_pan_down_left                      G1000 MFD pan down left.
sim/GPS/g1000n3_pan_up_right                       G1000 MFD pan up right.
sim/GPS/g1000n3_pan_down_right                     G1000 MFD pan down right.
sim/GPS/g1000n3_pan_push                           G1000 MFD push pan.
sim/GPS/g1000n3_direct                             G1000 MFD -D->
sim/GPS/g1000n3_menu                               G1000 MFD menu.
sim/GPS/g1000n3_fpl                                G1000 MFD FPL.
sim/GPS/g1000n3_proc                               G1000 MFD proc.
sim/GPS/g1000n3_clr                                G1000 MFD CLR.
sim/GPS/g1000n3_ent                                G1000 MFD ENT.
sim/GPS/g1000n3_fms_outer_up                       G1000 MFD FMS outer ring tune up.
sim/GPS/g1000n3_fms_outer_down                     G1000 MFD FMS outer ring tune down.
sim/GPS/g1000n3_fms_inner_up                       G1000 MFD FMS inner ring tune up.
sim/GPS/g1000n3_fms_inner_down                     G1000 MFD FMS inner ring tune down.
sim/GPS/g1000n3_cursor                             G1000 MFD FMS cursor.
sim/GPS/g1000n3_popout                             G1000 MFD pop out window.
sim/GPS/g1000n3_popup                              G1000 MFD popup.
sim/GPS/gcu478/A                                   GCU: A
sim/GPS/gcu478/B                                   GCU: B
sim/GPS/gcu478/C                                   GCU: C
sim/GPS/gcu478/D                                   GCU: D
sim/GPS/gcu478/E                                   GCU: E
sim/GPS/gcu478/F                                   GCU: F
sim/GPS/gcu478/G                                   GCU: G
sim/GPS/gcu478/H                                   GCU: H
sim/GPS/gcu478/I                                   GCU: I
sim/GPS/gcu478/J                                   GCU: J
sim/GPS/gcu478/K                                   GCU: K
sim/GPS/gcu478/L                                   GCU: L
sim/GPS/gcu478/M                                   GCU: M
sim/GPS/gcu478/N                                   GCU: N
sim/GPS/gcu478/O                                   GCU: O
sim/GPS/gcu478/P                                   GCU: P
sim/GPS/gcu478/Q                                   GCU: Q
sim/GPS/gcu478/R                                   GCU: R
sim/GPS/gcu478/S                                   GCU: S
sim/GPS/gcu478/T                                   GCU: T
sim/GPS/gcu478/U                                   GCU: U
sim/GPS/gcu478/V                                   GCU: V
sim/GPS/gcu478/W                                   GCU: W
sim/GPS/gcu478/X                                   GCU: X
sim/GPS/gcu478/Y                                   GCU: Y
sim/GPS/gcu478/Z                                   GCU: Z
sim/GPS/gcu478/0                                   GCU: 0
sim/GPS/gcu478/1                                   GCU: 1
sim/GPS/gcu478/2                                   GCU: 2
sim/GPS/gcu478/3                                   GCU: 3
sim/GPS/gcu478/4                                   GCU: 4
sim/GPS/gcu478/5                                   GCU: 5
sim/GPS/gcu478/6                                   GCU: 6
sim/GPS/gcu478/7                                   GCU: 7
sim/GPS/gcu478/8                                   GCU: 8
sim/GPS/gcu478/9                                   GCU: 9
sim/GPS/gcu478/dot                                 GCU: dot
sim/GPS/gcu478/minus                               GCU: minus
sim/GPS/gcu478/spc                                 GCU: space
sim/GPS/gcu478/bksp                                GCU: backspace
sim/GPS/gcu478/hdg_up                              GCU: HDG up.
sim/GPS/gcu478/hdg_down                            GCU: HDG down.
sim/GPS/gcu478/hdg_sync                            GCU: HDG sync.
sim/GPS/gcu478/crs_up                              GCU: CRS up.
sim/GPS/gcu478/crs_down                            GCU: CRS down.
sim/GPS/gcu478/crs_sync                            GCU: CRS sync.
sim/GPS/gcu478/alt_up                              GCU: altitude up.
sim/GPS/gcu478/alt_down                            GCU: altitude down.
sim/GPS/gcu478/alt_sync                            GCU: altitude sync.
sim/GPS/gcu478/range_up                            GCU: range up.
sim/GPS/gcu478/range_down                          GCU: range down.
